,name,street,city,state,zip,contact,lat,lng
0,Conway County Health Unit,100 Hospital DR,Morrilton,AR,72110,(501) 354-4652 ,35.1674683,-92.7201903
1,Craighead County Health Unit,611 Washington AVE E,Jonesboro,AR,72401,(870) 933-4585 ,35.8379887,-90.6985843
2,Crawford County Health Unit,2040 Chestnut,Van Buren,AR,72956,(479) 474-6391 ,35.4345835,-94.3401271
3,"Crittenden County Heatlh Unit West
Memphis",901 N. 7th St,West Memphis,AR,72301,(870) 735-4334 ,35.1546823,-90.1748866
4,Cross County Health Unit,701 Julia Avenue East,Wynne,AR,72396,(870) 238-2101 ,35.2182007,-90.7845829
5,Dallas County Health Unit,209 N Clifton,Fordyce,AR,71742,(870) 352-7197 ,33.8108663,-92.425525
6,Desha County Health Unit Dumas,751 Hwy. 65 HWY S,Dumas,AR,71639,(870) 382-2377 ,33.8752389,-91.4798947
7,Drew County Health Unit,940 Scogin DR,Monticello,AR,71655,(870) 367-6234 ,33.6088796,-91.816135
8,Faulkner County Health Unit,811 N. Creek DR,Conway,AR,72033,(501) 450-4941 ,35.0960877,-92.4238436
9,Franklin County Health Unit,312 North 13th Street,Ozark,AR,72949,(479) 667-2555 ,35.4902985,-93.8378607
10,Fulton County Health Unit,510 S. Main St,Salem,AR,72576,(870) 895-3300 ,36.3603265,-91.8324095
11,Garland County Health Unit,1425 Malvern Avenue,Hot Springs,AR,71901,(501) 624-3394 ,34.4982595,-93.0389022
12,Grant County Health Unit,700 E. Center,Sheridan,AR,72150,(870) 942-3157 ,34.307227,-92.3946427
13,Hempstead County Health Unit,808 W. 5th St,Hope,AR,71801,(870) 777-2191 ,33.6632962,-93.5998674
14,Hot Springs County Health Unit,2204 Sullenberger,Malvern,AR,72104,(501) 332-6974 ,34.3578429,-92.7876229
15,Howard County Health Unit,201 E. Hempstead,Nashville,AR,71852,(870) 845-2208 ,33.9422228,-93.84588
16,Independence County Health Unit,120 Weaver Avenue,Batesville,AR,72501,(870) 793-8847 ,35.7674148,-91.5847297
17,Izard County Health Unit,149 Haley St.,Melbourne,AR,72556,(870) 368-7790 ,36.0556993,-91.8947754
18,Jackson County Health Unit,1505 N. Pecan,Newport,AR,72112,(870) 523-8968 ,35.620097,-91.264939
19,Jefferson County Health Unit,2306 Rike Dr,Pine Bluff,AR,71611,(870) 535-2142 ,34.2085674,-92.0258649
20,Johnson County Health Unit,6 Professional Park Dr,Clarksville,AR,72830,(479) 754-2949 ,35.461985,-93.4458559
21,Lafayette County Health Unit,1113 Chestnut,Lewisville,AR,71845,(870) 921-5744 ,33.3656158,-93.5784809
22,Lawrence County Health Unit,1050 W. Free St,Walnut Ridge,AR,72476,(870) 886-3201 ,36.0716883,-90.9660491
23,Lee County Health Unit,141 North Hicky Rd,Marianna,AR,72360,(870) 295-2400 ,34.7662718,-90.7846277
24,Lincoln County Health Unit,214 Lincoln St S,Star City,AR,71667,(870) 628-5121 ,33.9419659,-91.8436191
